week,userId,total_usage,total_generated_groups,total_manual_groups
1,0,3,10,8
1,1,2,4,2
1,2,13,24,13
1,5,8,13,13
1,6,16,30,16
1,7,1,1,1
1,8,20,39,20
1,9,3,5,5
1,10,1,1,1
1,11,4,4,4
1,12,4,4,4
1,13,5,13,13
1,14,5,7,7
1,15,2,4,4
1,16,4,6,4
1,17,1,2,1
1,18,13,18,14
1,19,10,19,10
1,20,3,4,4
1,21,12,16,12
1,22,2,2,2
1,23,6,7,6
1,24,2,4,2
1,25,9,9,9
1,26,3,7,3
1,27,5,15,7
1,28,1,2,2
1,29,4,7,7
2,0,9,31,27
2,2,14,24,14
2,6,17,29,17
2,8,7,11,7
2,9,11,17,17
2,14,2,4,4
2,15,4,7,7
2,18,6,11,6
2,19,11,21,11
2,21,12,17,12
2,22,2,7,7
2,24,1,1,1
2,26,3,4,3
2,27,8,17,11
2,29,10,14,14
2,30,2,2,2
2,31,5,10,10
3,0,5,34,28
3,1,2,3,3
3,2,7,7,7
3,4,5,25,11
3,6,9,14,9
3,7,2,2,2
3,8,16,44,16
3,9,9,22,22
3,11,1,1,1
3,18,16,25,16
3,19,10,17,10
3,21,2,10,2
3,22,5,10,5
3,23,1,5,1
3,27,1,2,1
3,31,8,22,22
3,32,4,5,5
4,0,6,45,45
4,1,1,7,7
4,2,13,28,13
4,4,30,30,30
4,6,4,6,4
4,8,5,12,5
4,9,6,16,16
4,11,2,2,2
4,13,7,18,18
4,16,2,3,3
4,17,5,10,5
4,18,11,28,11
4,19,11,21,11
4,20,1,4,1
4,22,4,8,4
4,27,4,12,4
4,31,28,44,38
4,33,1,1,1
5,0,8,48,43
5,1,3,6,6
5,2,21,43,21
5,4,10,24,10
5,5,1,5,2
5,6,1,1,1
5,7,2,3,2
5,8,10,19,10
5,11,3,4,3
5,18,11,27,11
5,19,7,10,7
5,22,1,1,1
5,27,3,8,3
5,31,45,88,46
6,0,1,7,7
6,2,10,15,10
6,4,4,4,4
6,6,5,10,5
6,8,23,54,25
6,11,5,6,5
6,18,2,2,2
6,19,11,21,11
6,20,3,6,3
6,31,55,87,55
7,0,1,7,7
7,2,11,12,11
7,4,4,5,5
7,5,6,11,6
7,6,1,1,1
7,8,23,46,25
7,18,1,1,1
7,30,2,12,12
7,31,23,28,23
7,34,2,4,2
8,0,2,10,6
8,2,7,7,7
8,4,5,9,9
8,8,13,21,13
8,18,3,13,3
8,19,9,20,9
8,31,22,38,22
8,35,1,1,1
8,36,2,2,2
8,37,5,5,5
9,1,21,50,33
9,2,5,7,5
9,4,9,13,13
9,7,2,4,2
9,8,2,3,2
9,18,6,12,6
9,19,9,19,9
9,31,2,2,2
9,34,4,7,4
10,0,5,22,22
10,1,8,17,10
10,2,1,1,1
10,4,2,10,6
10,11,2,5,3
10,19,1,1,1
10,30,1,4,4
10,31,24,34,24
10,38,2,4,4
10,39,10,13,13
10,40,1,1,1
10,41,1,1,1
10,42,8,8,8
11,1,12,17,12
11,4,1,1,1
11,12,1,1,1
11,30,7,9,9
11,31,24,37,24
12,0,1,5,5
12,1,1,1,1
12,4,1,1,1
12,5,1,2,1
12,12,1,1,1
12,19,1,2,1
12,30,1,1,1
12,31,18,30,18
12,43,8,8,8
13,0,3,15,7
13,1,3,4,3
13,19,9,19,9
13,26,1,2,1
13,31,30,38,30
13,42,1,1,1
13,44,2,2,2
13,45,3,3,3
13,46,3,3,3
13,47,1,5,1
13,48,1,1,1
14,0,2,10,10
14,1,3,3,3
14,19,2,4,2
14,48,1,3,1
14,49,1,1,1
14,50,1,2,1
14,51,5,5,5
14,52,3,14,12
15,0,2,10,10
15,1,1,4,1
15,7,7,14,7
15,13,1,1,1
15,18,5,6,5
15,19,2,3,2
15,31,12,19,12
15,44,2,2,2
15,53,1,3,1
15,54,1,1,1
16,0,2,7,2
16,1,1,1,1
16,4,2,2,2
16,7,11,16,11
16,11,5,7,6
16,18,1,1,1
16,19,9,18,9
16,22,2,3,2
16,26,1,1,1
16,30,3,7,7
16,31,30,44,30
16,48,2,4,2
16,55,2,2,2
17,0,1,5,5
17,6,13,19,13
17,7,5,5,5
17,8,1,4,1
17,11,9,18,9
17,19,4,5,4
17,22,13,30,13
17,30,1,1,1
17,31,5,6,5
17,44,1,2,1
17,47,1,2,1
17,56,1,1,1
17,57,1,1,1
17,58,1,1,1
18,1,1,1,1
18,5,1,3,1
18,6,4,11,4
18,7,5,8,5
18,8,5,12,5
18,11,4,10,4
18,19,5,9,5
18,22,11,21,11
18,31,19,28,19
18,59,1,4,1
18,60,1,2,1
18,61,1,1,1
19,1,1,2,1
19,4,3,3,3
19,6,8,15,8
19,7,9,12,9
19,8,16,23,16
19,11,12,16,12
19,19,6,15,6
19,22,4,6,4
19,31,4,5,4
20,0,4,4,4
20,1,3,4,3
20,6,8,14,8
20,8,5,5,5
20,11,6,11,6
20,19,4,7,4
20,31,13,23,13
20,34,2,2,2
20,62,3,3,3
20,63,1,1,1
21,6,1,1,1
21,8,3,5,3
21,19,9,14,9
21,22,2,5,2
21,31,9,13,9
21,62,3,3,3
21,64,6,14,6
22,0,2,10,6
22,6,1,1,1
22,8,11,19,11
22,19,19,38,20
22,22,8,10,8
22,31,15,24,15
23,1,1,1,1
23,6,10,16,10
23,8,8,12,8
23,19,16,30,16
23,22,9,11,9
23,31,16,26,16
23,47,1,2,1
23,65,4,4,4
24,1,1,3,1
24,6,7,9,7
24,8,9,15,9
24,11,5,7,5
24,19,11,17,11
24,22,7,11,7
24,31,12,17,12
24,64,4,11,4
25,0,2,11,9
25,2,15,19,15
25,6,9,11,10
25,8,8,17,8
25,11,1,1,1
25,19,20,28,20
25,22,11,22,11
25,24,1,1,1
25,31,11,15,11
25,66,5,12,5
25,67,1,2,2
26,0,1,5,5
26,6,9,12,9
26,8,14,24,14
26,11,2,2,2
26,19,8,13,8
26,22,16,31,16
26,31,25,50,25
26,64,11,39,11
26,66,1,2,1
27,0,1,5,3
27,1,1,2,1
27,2,7,9,7
27,6,8,17,8
27,8,17,31,17
27,19,7,11,7
27,22,13,25,14
27,31,20,28,20
27,52,2,2,2
27,64,7,27,7
27,68,1,1,1
27,69,1,3,1
27,70,1,1,1
28,6,12,13,12
28,8,12,22,12
28,19,10,17,10
28,22,14,23,14
28,31,7,11,7
28,32,1,5,5
28,64,4,12,4
28,71,1,1,1
28,72,2,4,2
28,73,1,1,1
28,74,1,2,2
28,75,4,13,4
28,76,1,2,2
29,1,2,6,6
29,2,2,2,2
29,6,7,12,8
29,8,8,13,8
29,11,1,1,1
29,19,16,23,16
29,22,9,12,9
29,31,16,25,16
29,47,1,1,1
29,64,6,16,6
30,1,2,5,2
30,2,1,1,1
30,6,2,2,2
30,8,14,27,14
30,19,10,12,10
30,22,11,40,11
30,31,19,30,19
30,47,3,6,3
30,64,11,24,11
30,66,1,4,1
31,0,5,25,15
31,2,2,2,2
31,8,7,12,7
31,19,9,19,9
31,22,4,8,4
31,30,1,1,1
31,31,7,8,7
31,52,1,4,4
31,64,16,44,16
31,77,3,3,3
32,1,1,1,1
32,2,1,1,1
32,8,12,21,12
32,19,48,75,48
32,22,17,25,17
32,25,1,1,1
32,31,13,21,13
32,64,19,50,19
32,78,2,2,2
33,1,1,4,1
33,8,4,8,4
33,19,13,21,13
33,22,9,18,9
33,31,13,20,13
33,64,15,37,15
33,79,1,1,1
33,80,3,3,3
33,81,1,2,2
34,2,1,1,1
34,8,27,49,27
34,19,23,33,23
34,31,1,3,1
34,64,21,45,21
35,7,2,4,2
35,8,13,26,13
35,11,1,2,1
35,19,26,45,26
35,25,4,7,4
35,64,12,31,12
35,82,1,1,1
36,2,5,5,5
36,8,8,21,8
36,11,9,13,9
36,19,15,22,16
36,22,6,15,6
36,36,1,1,1
36,64,16,39,17
36,83,3,3,3